Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1
Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z
RAW	RAW	RAW	RAW	CAL	CAL	CAL	CAL
No unit	No unit	No unit	No unit	mSecs	m/(sec^2)*	m/(sec^2)*	m/(sec^2)*
54721	2962	2082	1708	45669,9523925781	9,04950495049505	0,336633663366337	-3,36633663366337
54881	2994	2073	1683	45674,8352050781	9,36633663366337	0,247524752475248	-3,61386138613861
55041	2980	2085	1687	45679,7180175781	9,22772277227723	0,366336633663366	-3,57425742574257
55201	2974	2090	1696	45684,6008300781	9,16831683168317	0,415841584158416	-3,48514851485149
55361	2984	2096	1692	45689,4836425781	9,26732673267327	0,475247524752475	-3,52475247524752
55521	2982	2085	1714	45694,3664550781	9,24752475247525	0,366336633663366	-3,30693069306931
55681	2963	2065	1699	45699,2492675781	9,05940594059406	0,168316831683168	-3,45544554455446
55841	3000	2069	1685	45704,1320800781	9,42574257425743	0,207920792079208	-3,59405940594059
56001	2983	2111	1700	45709,0148925781	9,25742574257426	0,623762376237624	-3,44554455445545
56161	2980	2075	1673	45713,8977050781	9,22772277227723	0,267326732673267	-3,71287128712871
56321	2987	2095	1717	45718,7805175781	9,2970297029703	0,465346534653465	-3,27722772277228
56481	2975	2069	1709	45723,6633300781	9,17821782178218	0,207920792079208	-3,35643564356436
56641	2988	2086	1706	45728,5461425781	9,30693069306931	0,376237623762376	-3,38613861386139
56801	2985	2083	1704	45733,4289550781	9,27722772277228	0,346534653465347	-3,40594059405941
56961	2980	2087	1713	45738,3117675781	9,22772277227723	0,386138613861386	-3,31683168316832
57121	2977	2087	1701	45743,1945800781	9,1980198019802	0,386138613861386	-3,43564356435644
57281	2989	2084	1687	45748,0773925781	9,31683168316832	0,356435643564356	-3,57425742574257
57441	2998	2083	1693	45752,9602050781	9,40594059405941	0,346534653465347	-3,51485148514851
57601	2978	2102	1684	45757,8430175781	9,20792079207921	0,534653465346535	-3,6039603960396
57761	2978	2085	1682	45762,7258300781	9,20792079207921	0,366336633663366	-3,62376237623762
57921	2970	2102	1681	45767,6086425781	9,12871287128713	0,534653465346535	-3,63366336633663
58081	2966	2085	1697	45772,4914550781	9,08910891089109	0,366336633663366	-3,47524752475248
58241	2992	2089	1692	45777,3742675781	9,34653465346535	0,405940594059406	-3,52475247524752
58401	2971	2100	1695	45782,2570800781	9,13861386138614	0,514851485148515	-3,4950495049505
58561	2980	2083	1697	45787,1398925781	9,22772277227723	0,346534653465347	-3,47524752475248
58721	2998	2085	1701	45792,0227050781	9,40594059405941	0,366336633663366	-3,43564356435644
58881	2976	2073	1704	45796,9055175781	9,18811881188119	0,247524752475248	-3,40594059405941
59041	2981	2088	1707	45801,7883300781	9,23762376237624	0,396039603960396	-3,37623762376238
59201	2984	2104	1688	45806,6711425781	9,26732673267327	0,554455445544555	-3,56435643564356
59361	2974	2071	1709	45811,5539550781	9,16831683168317	0,227722772277228	-3,35643564356436
59521	2982	2087	1705	45816,4367675781	9,24752475247525	0,386138613861386	-3,3960396039604
59681	2963	2083	1702	45821,3195800781	9,05940594059406	0,346534653465347	-3,42574257425743
59841	2975	2071	1679	45826,2023925781	9,17821782178218	0,227722772277228	-3,65346534653465
60001	2982	2085	1704	45831,0852050781	9,24752475247525	0,366336633663366	-3,40594059405941
60161	2972	2069	1696	45835,9680175781	9,14851485148515	0,207920792079208	-3,48514851485149
60321	2974	2100	1702	45840,8508300781	9,16831683168317	0,514851485148515	-3,42574257425743
60481	2974	2064	1678	45845,7336425781	9,16831683168317	0,158415841584158	-3,66336633663366
60641	2984	2087	1686	45850,6164550781	9,26732673267327	0,386138613861386	-3,58415841584158
60801	2995	2076	1705	45855,4992675781	9,37623762376238	0,277227722772277	-3,3960396039604
60961	2964	2072	1694	45860,3820800781	9,06930693069307	0,237623762376238	-3,50495049504951
61121	2986	2093	1708	45865,2648925781	9,28712871287129	0,445544554455446	-3,36633663366337
61281	2971	2064	1694	45870,1477050781	9,13861386138614	0,158415841584158	-3,50495049504951
61441	2982	2069	1699	45875,0305175781	9,24752475247525	0,207920792079208	-3,45544554455446
61601	2981	2082	1694	45879,9133300781	9,23762376237624	0,336633663366337	-3,50495049504951
61761	2978	2088	1693	45884,7961425781	9,20792079207921	0,396039603960396	-3,51485148514851
61921	2977	2093	1713	45889,6789550781	9,1980198019802	0,445544554455446	-3,31683168316832
62081	2970	2088	1690	45894,5617675781	9,12871287128713	0,396039603960396	-3,54455445544554
62241	2987	2084	1684	45899,4445800781	9,2970297029703	0,356435643564356	-3,6039603960396
62401	2993	2075	1706	45904,3273925781	9,35643564356436	0,267326732673267	-3,38613861386139
62561	2987	2070	1696	45909,2102050781	9,2970297029703	0,217821782178218	-3,48514851485149
62721	2969	2082	1709	45914,0930175781	9,11881188118812	0,336633663366337	-3,35643564356436
