Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1
Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	ECG RA-LL	ECG LA-LL	Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	ECG RA-LL	ECG LA-LL
RAW	RAW	RAW	RAW	RAW	RAW	CAL	CAL	CAL	CAL	CAL	CAL
No unit	No unit	No unit	No unit	No unit	No unit	mSecs	m/(sec^2)*	m/(sec^2)*	m/(sec^2)*	mVolts*	mVolts*
47585	1962	2033	717	0	0	61452,1789550781	-0,851485148514851	-0,148514851485149	-13,1782178217822	-8,62375719518577	-8,62375719518577
47745	2973	2074	1681	2057	2066	61457,0617675781	9,15841584158416	0,257425742574257	-3,63366336633663	-0,0125588697017268	0,0251177394034537
47905	2990	2079	1683	2052	2045	61461,9445800781	9,32673267326733	0,306930693069307	-3,61386138613861	-0,0334903192046049	-0,0627943485086342
48065	3006	2056	1680	2050	2035	61466,8273925781	9,48514851485148	0,0792079207920792	-3,64356435643564	-0,0418628990057562	-0,10465724751439
48225	2975	2085	1709	2055	2055	61471,7102050781	9,17821782178218	0,366336633663366	-3,35643564356436	-0,0209314495028781	-0,0209314495028781
48385	2985	2081	1701	2057	2069	61476,5930175781	9,27722772277228	0,326732673267327	-3,43564356435644	-0,0125588697017268	0,0376766091051805
48545	2986	2092	1710	2048	2048	61481,4758300781	9,28712871287129	0,435643564356436	-3,34653465346535	-0,0502354788069074	-0,0502354788069074
48705	2971	2072	1705	2040	2030	61486,3586425781	9,13861386138614	0,237623762376238	-3,3960396039604	-0,0837257980115123	-0,125588697017268
48865	2979	2087	1686	2053	2051	61491,2414550781	9,21782178217822	0,386138613861386	-3,58415841584158	-0,0293040293040293	-0,0376766091051805
49025	2977	2085	1681	2061	2067	61496,1242675781	9,1980198019802	0,366336633663366	-3,63366336633663	0,00418628990057562	0,0293040293040293
49185	2976	2103	1694	2054	2051	61501,0070800781	9,18811881188119	0,544554455445545	-3,50495049504951	-0,0251177394034537	-0,0376766091051805
49345	2951	2093	1683	2055	2036	61505,8898925781	8,94059405940594	0,445544554455446	-3,61386138613861	-0,0209314495028781	-0,100470957613815
49505	2978	2094	1731	2056	2052	61510,7727050781	9,20792079207921	0,455445544554455	-3,13861386138614	-0,0167451596023025	-0,0334903192046049
49665	2940	2096	1717	2062	2071	61515,6555175781	8,83168316831683	0,475247524752475	-3,27722772277228	0,00837257980115123	0,0460491889063318
49825	2992	2081	1707	2054	2058	61520,5383300781	9,34653465346535	0,326732673267327	-3,37623762376238	-0,0251177394034537	-0,00837257980115123
49985	2978	2053	1699	2049	2037	61525,4211425781	9,20792079207921	0,0495049504950495	-3,45544554455446	-0,0460491889063318	-0,0962846677132392
50145	2973	2069	1700	2051	2049	61530,3039550781	9,15841584158416	0,207920792079208	-3,44554455445545	-0,0376766091051805	-0,0460491889063318
50305	2976	2076	1698	2061	2068	61535,1867675781	9,18811881188119	0,277227722772277	-3,46534653465347	0,00418628990057562	0,0334903192046049
50465	2975	2083	1684	2059	2057	61540,0695800781	9,17821782178218	0,346534653465347	-3,6039603960396	-0,00418628990057562	-0,0125588697017268
50625	2970	2071	1696	2053	2035	61544,9523925781	9,12871287128713	0,227722772277228	-3,48514851485149	-0,0293040293040293	-0,10465724751439
50785	3004	2118	1671	2053	2043	61549,8352050781	9,46534653465346	0,693069306930693	-3,73267326732673	-0,0293040293040293	-0,0711669283097855
50945	2990	2082	1641	2057	2064	61554,7180175781	9,32673267326733	0,336633663366337	-4,02970297029703	-0,0125588697017268	0,0167451596023025
51105	2982	2094	1676	2057	2056	61559,6008300781	9,24752475247525	0,455445544554455	-3,68316831683168	-0,0125588697017268	-0,0167451596023025
51265	2981	2100	1685	2045	2033	61564,4836425781	9,23762376237624	0,514851485148515	-3,59405940594059	-0,0627943485086342	-0,113029827315542
51425	2988	2092	1699	2053	2041	61569,3664550781	9,30693069306931	0,435643564356436	-3,45544554455446	-0,0293040293040293	-0,0795395081109367
51585	2974	2108	1695	2059	2063	61574,2492675781	9,16831683168317	0,594059405940594	-3,4950495049505	-0,00418628990057562	0,0125588697017268
51745	2981	2098	1695	2058	2058	61579,1320800781	9,23762376237624	0,495049504950495	-3,4950495049505	-0,00837257980115123	-0,00837257980115123
51905	2968	2102	1697	2050	2033	61584,0148925781	9,10891089108911	0,534653465346535	-3,47524752475248	-0,0418628990057562	-0,113029827315542
52065	2980	2081	1687	2051	2037	61588,8977050781	9,22772277227723	0,326732673267327	-3,57425742574257	-0,0376766091051805	-0,0962846677132392
52225	3006	2080	1697	2059	2060	61593,7805175781	9,48514851485148	0,316831683168317	-3,47524752475248	-0,00418628990057562	0
52385	2987	2088	1693	2059	2058	61598,6633300781	9,2970297029703	0,396039603960396	-3,51485148514851	-0,00418628990057562	-0,00837257980115123
52545	2963	2064	1699	2051	2037	61603,5461425781	9,05940594059406	0,158415841584158	-3,45544554455446	-0,0376766091051805	-0,0962846677132392
52705	2999	2069	1680	2055	2035	61608,4289550781	9,41584158415842	0,207920792079208	-3,64356435643564	-0,0209314495028781	-0,10465724751439
52865	2991	2085	1683	2057	2059	61613,3117675781	9,33663366336634	0,366336633663366	-3,61386138613861	-0,0125588697017268	-0,00418628990057562
53025	2988	2073	1668	2057	2063	61618,1945800781	9,30693069306931	0,247524752475248	-3,76237623762376	-0,0125588697017268	0,0125588697017268
