Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1
Timestamp	ECG RA-LL	ECG LA-LL	Timestamp	ECG RA-LL	ECG LA-LL
RAW	RAW	RAW	CAL	CAL	CAL
No unit	No unit	No unit	mSecs	mVolts*	mVolts*
19201	1979	2043	76585,9680175781	-0,339089481946625	-0,0711669283097855
19361	2052	2058	76590,8508300781	-0,0334903192046049	-0,00837257980115123
19521	2048	2042	76595,7336425781	-0,0502354788069074	-0,0753532182103611
19681	2053	2048	76600,6164550781	-0,0293040293040293	-0,0502354788069074
19841	2054	2064	76605,4992675781	-0,0251177394034537	0,0167451596023025
20001	2048	2052	76610,3820800781	-0,0502354788069074	-0,0334903192046049
20161	2057	2042	76615,2648925781	-0,0125588697017268	-0,0753532182103611
20321	2049	2053	76620,1477050781	-0,0460491889063318	-0,0293040293040293
20481	2055	2064	76625,0305175781	-0,0209314495028781	0,0167451596023025
20641	2052	2053	76629,9133300781	-0,0334903192046049	-0,0293040293040293
20801	2054	2038	76634,7961425781	-0,0251177394034537	-0,0920983778126635
20961	2055	2044	76639,6789550781	-0,0209314495028781	-0,0669806384092098
21121	2046	2060	76644,5617675781	-0,0586080586080586	0
21281	2051	2058	76649,4445800781	-0,0376766091051805	-0,00837257980115123
21441	2050	2039	76654,3273925781	-0,0418628990057562	-0,0879120879120879
21601	2051	2043	76659,2102050781	-0,0376766091051805	-0,0711669283097855
21761	2056	2059	76664,0930175781	-0,0167451596023025	-0,00418628990057562
21921	2056	2059	76668,9758300781	-0,0167451596023025	-0,00418628990057562
22081	2055	2040	76673,8586425781	-0,0209314495028781	-0,0837257980115123
22241	2054	2041	76678,7414550781	-0,0251177394034537	-0,0795395081109367
22401	2056	2061	76683,6242675781	-0,0167451596023025	0,00418628990057562
22561	2054	2062	76688,5070800781	-0,0251177394034537	0,00837257980115123
22721	2055	2041	76693,3898925781	-0,0209314495028781	-0,0795395081109367
22881	2052	2040	76698,2727050781	-0,0334903192046049	-0,0837257980115123
23041	2056	2059	76703,1555175781	-0,0167451596023025	-0,00418628990057562
23201	2057	2062	76708,0383300781	-0,0125588697017268	0,00837257980115123
23361	2054	2043	76712,9211425781	-0,0251177394034537	-0,0711669283097855
23521	2048	2040	76717,8039550781	-0,0502354788069074	-0,0837257980115123
23681	2052	2056	76722,6867675781	-0,0334903192046049	-0,0167451596023025
23841	2051	2066	76727,5695800781	-0,0376766091051805	0,0251177394034537
24001	2052	2047	76732,4523925781	-0,0334903192046049	-0,054421768707483
24161	2053	2039	76737,3352050781	-0,0293040293040293	-0,0879120879120879
24321	2051	2050	76742,2180175781	-0,0376766091051805	-0,0418628990057562
24481	2052	2062	76747,1008300781	-0,0334903192046049	0,00837257980115123
24641	2049	2047	76751,9836425781	-0,0460491889063318	-0,054421768707483
24801	2045	2037	76756,8664550781	-0,0627943485086342	-0,0962846677132392
24961	2048	2052	76761,7492675781	-0,0502354788069074	-0,0334903192046049
25121	2050	2063	76766,6320800781	-0,0418628990057562	0,0125588697017268
25281	2053	2055	76771,5148925781	-0,0293040293040293	-0,0209314495028781
25441	2054	2045	76776,3977050781	-0,0251177394034537	-0,0627943485086342
25601	2053	2057	76781,2805175781	-0,0293040293040293	-0,0125588697017268
25761	2052	2071	76786,1633300781	-0,0334903192046049	0,0460491889063318
25921	2048	2057	76791,0461425781	-0,0502354788069074	-0,0125588697017268
26081	2048	2047	76795,9289550781	-0,0502354788069074	-0,054421768707483
26241	2048	2055	76800,8117675781	-0,0502354788069074	-0,0209314495028781
26401	2052	2070	76805,6945800781	-0,0334903192046049	0,0418628990057562
26561	2051	2067	76810,5773925781	-0,0376766091051805	0,0293040293040293
26721	2051	2047	76815,4602050781	-0,0376766091051805	-0,054421768707483
26881	2052	2052	76820,3430175781	-0,0334903192046049	-0,0334903192046049
27041	2055	2074	76825,2258300781	-0,0209314495028781	0,0586080586080586
27201	2044	2062	76830,1086425781	-0,0669806384092098	0,00837257980115123
27361	2045	2046	76834,9914550781	-0,0627943485086342	-0,0586080586080586
27521	2052	2055	76839,8742675781	-0,0334903192046049	-0,0209314495028781
27681	2054	2068	76844,7570800781	-0,0251177394034537	0,0334903192046049
27841	2055	2064	76849,6398925781	-0,0209314495028781	0,0167451596023025
28001	2052	2046	76854,5227050781	-0,0334903192046049	-0,0586080586080586
28161	2055	2048	76859,4055175781	-0,0209314495028781	-0,0502354788069074
28321	2048	2065	76864,2883300781	-0,0502354788069074	0,0209314495028781
28481	2047	2054	76869,1711425781	-0,054421768707483	-0,0251177394034537
28641	2056	2047	76874,0539550781	-0,0167451596023025	-0,054421768707483
28801	2054	2047	76878,9367675781	-0,0251177394034537	-0,054421768707483
28961	2052	2063	76883,8195800781	-0,0334903192046049	0,0125588697017268
29121	2051	2063	76888,7023925781	-0,0376766091051805	0,0125588697017268
29281	2052	2044	76893,5852050781	-0,0334903192046049	-0,0669806384092098
29441	2048	2043	76898,4680175781	-0,0502354788069074	-0,0711669283097855
29601	2048	2063	76903,3508300781	-0,0502354788069074	0,0125588697017268
29761	2048	2061	76908,2336425781	-0,0502354788069074	0,00418628990057562
29921	2047	2038	76913,1164550781	-0,054421768707483	-0,0920983778126635
30081	2052	2039	76917,9992675781	-0,0334903192046049	-0,0879120879120879
30241	2050	2055	76922,8820800781	-0,0418628990057562	-0,0209314495028781
30401	2052	2060	76927,7648925781	-0,0334903192046049	0
30561	2051	2041	76932,6477050781	-0,0376766091051805	-0,0795395081109367
30721	2048	2032	76937,5305175781	-0,0502354788069074	-0,117216117216117
30881	2044	2047	76942,4133300781	-0,0669806384092098	-0,054421768707483
31041	2046	2051	76947,2961425781	-0,0586080586080586	-0,0376766091051805
31201	2050	2042	76952,1789550781	-0,0418628990057562	-0,0753532182103611
31361	2051	2030	76957,0617675781	-0,0376766091051805	-0,125588697017268
31521	2052	2048	76961,9445800781	-0,0334903192046049	-0,0502354788069074
31681	2054	2059	76966,8273925781	-0,0251177394034537	-0,00418628990057562
31841	2054	2045	76971,7102050781	-0,0251177394034537	-0,0627943485086342
32001	2051	2035	76976,5930175781	-0,0376766091051805	-0,10465724751439
32161	2045	2047	76981,4758300781	-0,0627943485086342	-0,054421768707483
32321	2044	2062	76986,3586425781	-0,0669806384092098	0,00837257980115123
32481	2051	2046	76991,2414550781	-0,0376766091051805	-0,0586080586080586
32641	2048	2031	76996,1242675781	-0,0502354788069074	-0,121402407116693
32801	2052	2045	77001,0070800781	-0,0334903192046049	-0,0627943485086342
32961	2053	2057	77005,8898925781	-0,0293040293040293	-0,0125588697017268
33121	2056	2048	77010,7727050781	-0,0167451596023025	-0,0502354788069074
33281	2051	2033	77015,6555175781	-0,0376766091051805	-0,113029827315542
33441	2053	2043	77020,5383300781	-0,0293040293040293	-0,0711669283097855
33601	2052	2056	77025,4211425781	-0,0334903192046049	-0,0167451596023025
33761	2057	2050	77030,3039550781	-0,0125588697017268	-0,0418628990057562
33921	2058	2035	77035,1867675781	-0,00837257980115123	-0,10465724751439
34081	2052	2041	77040,0695800781	-0,0334903192046049	-0,0795395081109367
34241	2056	2058	77044,9523925781	-0,0167451596023025	-0,00837257980115123
34401	2048	2054	77049,8352050781	-0,0502354788069074	-0,0251177394034537
34561	2049	2038	77054,7180175781	-0,0460491889063318	-0,0920983778126635
34721	2050	2042	77059,6008300781	-0,0418628990057562	-0,0753532182103611
34881	2052	2065	77064,4836425781	-0,0334903192046049	0,0209314495028781
35041	2054	2060	77069,3664550781	-0,0251177394034537	0
35201	2053	2042	77074,2492675781	-0,0293040293040293	-0,0753532182103611
35361	2055	2042	77079,1320800781	-0,0209314495028781	-0,0753532182103611
35521	2055	2064	77084,0148925781	-0,0209314495028781	0,0167451596023025
35681	2052	2064	77088,8977050781	-0,0334903192046049	0,0167451596023025
35841	2052	2043	77093,7805175781	-0,0334903192046049	-0,0711669283097855
36001	2051	2040	77098,6633300781	-0,0376766091051805	-0,0837257980115123
36161	2054	2060	77103,5461425781	-0,0251177394034537	0
36321	2054	2061	77108,4289550781	-0,0251177394034537	0,00418628990057562
36481	2056	2046	77113,3117675781	-0,0167451596023025	-0,0586080586080586
36641	2052	2042	77118,1945800781	-0,0334903192046049	-0,0753532182103611
36801	2057	2061	77123,0773925781	-0,0125588697017268	0,00418628990057562
36961	2052	2065	77127,9602050781	-0,0334903192046049	0,0209314495028781
37121	2053	2047	77132,8430175781	-0,0293040293040293	-0,054421768707483
37281	2052	2040	77137,7258300781	-0,0334903192046049	-0,0837257980115123
37441	2055	2055	77142,6086425781	-0,0209314495028781	-0,0209314495028781
37601	2056	2061	77147,4914550781	-0,0167451596023025	0,00418628990057562
37761	2056	2047	77152,3742675781	-0,0167451596023025	-0,054421768707483
37921	2057	2039	77157,2570800781	-0,0125588697017268	-0,0879120879120879
38081	2056	2055	77162,1398925781	-0,0167451596023025	-0,0209314495028781
38241	2055	2065	77167,0227050781	-0,0209314495028781	0,0209314495028781
38401	2052	2057	77171,9055175781	-0,0334903192046049	-0,0125588697017268
38561	2057	2042	77176,7883300781	-0,0125588697017268	-0,0753532182103611
38721	2054	2053	77181,6711425781	-0,0251177394034537	-0,0293040293040293
38881	2058	2067	77186,5539550781	-0,00837257980115123	0,0293040293040293
39041	2057	2055	77191,4367675781	-0,0125588697017268	-0,0209314495028781
39201	2051	2039	77196,3195800781	-0,0376766091051805	-0,0879120879120879
39361	2046	2049	77201,2023925781	-0,0586080586080586	-0,0460491889063318
39521	2053	2062	77206,0852050781	-0,0293040293040293	0,00837257980115123
39681	2052	2053	77210,9680175781	-0,0334903192046049	-0,0293040293040293
39841	2051	2037	77215,8508300781	-0,0376766091051805	-0,0962846677132392
40001	2049	2048	77220,7336425781	-0,0460491889063318	-0,0502354788069074
40161	2054	2063	77225,6164550781	-0,0251177394034537	0,0125588697017268
40321	2053	2054	77230,4992675781	-0,0293040293040293	-0,0251177394034537
40481	2049	2037	77235,3820800781	-0,0460491889063318	-0,0962846677132392
40641	2048	2045	77240,2648925781	-0,0502354788069074	-0,0627943485086342
40801	2056	2064	77245,1477050781	-0,0167451596023025	0,0167451596023025
40961	2053	2056	77250,0305175781	-0,0293040293040293	-0,0167451596023025
41121	2053	2032	77254,9133300781	-0,0293040293040293	-0,117216117216117
41281	2054	2043	77259,7961425781	-0,0251177394034537	-0,0711669283097855
41441	2055	2060	77264,6789550781	-0,0209314495028781	0
41601	2054	2059	77269,5617675781	-0,0251177394034537	-0,00418628990057562
41761	2054	2040	77274,4445800781	-0,0251177394034537	-0,0837257980115123
41921	2054	2042	77279,3273925781	-0,0251177394034537	-0,0753532182103611
42081	2055	2057	77284,2102050781	-0,0209314495028781	-0,0125588697017268
42241	2059	2061	77289,0930175781	-0,00418628990057562	0,00418628990057562
42401	2054	2043	77293,9758300781	-0,0251177394034537	-0,0711669283097855
42561	2056	2042	77298,8586425781	-0,0167451596023025	-0,0753532182103611
42721	2048	2057	77303,7414550781	-0,0502354788069074	-0,0125588697017268
42881	2048	2060	77308,6242675781	-0,0502354788069074	0
43041	2047	2039	77313,5070800781	-0,054421768707483	-0,0879120879120879
43201	2053	2041	77318,3898925781	-0,0293040293040293	-0,0795395081109367
43361	2050	2057	77323,2727050781	-0,0418628990057562	-0,0125588697017268
43521	2053	2062	77328,1555175781	-0,0293040293040293	0,00837257980115123
43681	2056	2045	77333,0383300781	-0,0167451596023025	-0,0627943485086342
43841	2052	2039	77337,9211425781	-0,0334903192046049	-0,0879120879120879
44001	2056	2062	77342,8039550781	-0,0167451596023025	0,00837257980115123
44161	2054	2066	77347,6867675781	-0,0251177394034537	0,0251177394034537
44321	2048	2044	77352,5695800781	-0,0502354788069074	-0,0669806384092098
44481	2052	2040	77357,4523925781	-0,0334903192046049	-0,0837257980115123
44641	2051	2055	77362,3352050781	-0,0376766091051805	-0,0209314495028781
44801	2056	2067	77367,2180175781	-0,0167451596023025	0,0293040293040293
44961	2054	2049	77372,1008300781	-0,0251177394034537	-0,0460491889063318
45121	2051	2035	77376,9836425781	-0,0376766091051805	-0,10465724751439
45281	2051	2051	77381,8664550781	-0,0376766091051805	-0,0376766091051805
45441	2051	2062	77386,7492675781	-0,0376766091051805	0,00837257980115123
45601	2049	2047	77391,6320800781	-0,0460491889063318	-0,054421768707483
45761	2046	2035	77396,5148925781	-0,0586080586080586	-0,10465724751439
45921	2053	2051	77401,3977050781	-0,0293040293040293	-0,0376766091051805
46081	2052	2065	77406,2805175781	-0,0334903192046049	0,0209314495028781
46241	2051	2052	77411,1633300781	-0,0376766091051805	-0,0334903192046049
46401	2052	2036	77416,0461425781	-0,0334903192046049	-0,100470957613815
46561	2053	2051	77420,9289550781	-0,0293040293040293	-0,0376766091051805
46721	2056	2067	77425,8117675781	-0,0167451596023025	0,0293040293040293
46881	2048	2054	77430,6945800781	-0,0502354788069074	-0,0251177394034537
47041	2050	2037	77435,5773925781	-0,0418628990057562	-0,0962846677132392
47201	2050	2041	77440,4602050781	-0,0418628990057562	-0,0795395081109367
47361	2057	2067	77445,3430175781	-0,0125588697017268	0,0293040293040293
47521	2057	2059	77450,2258300781	-0,0125588697017268	-0,00418628990057562
47681	2056	2039	77455,1086425781	-0,0167451596023025	-0,0879120879120879
47841	2051	2042	77459,9914550781	-0,0376766091051805	-0,0753532182103611
48001	2056	2063	77464,8742675781	-0,0167451596023025	0,0125588697017268
48161	2051	2059	77469,7570800781	-0,0376766091051805	-0,00418628990057562
48321	2053	2038	77474,6398925781	-0,0293040293040293	-0,0920983778126635
48481	2048	2042	77479,5227050781	-0,0502354788069074	-0,0753532182103611
48641	2052	2063	77484,4055175781	-0,0334903192046049	0,0125588697017268
48801	2053	2061	77489,2883300781	-0,0293040293040293	0,00418628990057562
48961	2050	2039	77494,1711425781	-0,0418628990057562	-0,0879120879120879
49121	2048	2040	77499,0539550781	-0,0502354788069074	-0,0837257980115123
49281	2053	2064	77503,9367675781	-0,0293040293040293	0,0167451596023025
49441	2044	2061	77508,8195800781	-0,0669806384092098	0,00418628990057562
49601	2048	2036	77513,7023925781	-0,0502354788069074	-0,100470957613815
49761	2042	2037	77518,5852050781	-0,0753532182103611	-0,0962846677132392
49921	2051	2057	77523,4680175781	-0,0376766091051805	-0,0125588697017268
50081	2052	2060	77528,3508300781	-0,0334903192046049	0
50241	2051	2039	77533,2336425781	-0,0376766091051805	-0,0879120879120879
50401	2050	2033	77538,1164550781	-0,0418628990057562	-0,113029827315542
50561	2048	2055	77542,9992675781	-0,0502354788069074	-0,0209314495028781
50721	2049	2063	77547,8820800781	-0,0460491889063318	0,0125588697017268
50881	2043	2038	77552,7648925781	-0,0711669283097855	-0,0920983778126635
51041	2038	2023	77557,6477050781	-0,0920983778126635	-0,154892726321298
51201	2048	2052	77562,5305175781	-0,0502354788069074	-0,0334903192046049
51361	2052	2064	77567,4133300781	-0,0334903192046049	0,0167451596023025
51521	2051	2045	77572,2961425781	-0,0376766091051805	-0,0627943485086342
51681	2048	2033	77577,1789550781	-0,0502354788069074	-0,113029827315542
51841	2048	2050	77582,0617675781	-0,0502354788069074	-0,0418628990057562
52001	2050	2063	77586,9445800781	-0,0418628990057562	0,0125588697017268
52161	2044	2043	77591,8273925781	-0,0669806384092098	-0,0711669283097855
52321	2047	2030	77596,7102050781	-0,054421768707483	-0,125588697017268
52481	2050	2049	77601,5930175781	-0,0418628990057562	-0,0460491889063318
52641	2053	2064	77606,4758300781	-0,0293040293040293	0,0167451596023025
52801	2051	2050	77611,3586425781	-0,0376766091051805	-0,0418628990057562
52961	2048	2030	77616,2414550781	-0,0502354788069074	-0,125588697017268
53121	2048	2045	77621,1242675781	-0,0502354788069074	-0,0627943485086342
53281	2048	2067	77626,0070800781	-0,0502354788069074	0,0293040293040293
53441	2049	2053	77630,8898925781	-0,0460491889063318	-0,0293040293040293
53601	2050	2040	77635,7727050781	-0,0418628990057562	-0,0837257980115123
53761	2048	2047	77640,6555175781	-0,0502354788069074	-0,054421768707483
53921	2052	2068	77645,5383300781	-0,0334903192046049	0,0334903192046049
54081	2055	2059	77650,4211425781	-0,0209314495028781	-0,00418628990057562
54241	2057	2041	77655,3039550781	-0,0125588697017268	-0,0795395081109367
