Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z	Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z
RAW	RAW	RAW	RAW	CAL	CAL	CAL	CAL
No unit	No unit	No unit	No unit	mSecs	deg/sec*	deg/sec*	deg/sec*
56289	1402	1600	22	1717,80395507813	89,010989010989	161,538461538462	667,032967032967
56449	1612	2088	137	1722,68676757813	-89,7435897435898	84,6153846153846	624,908424908425
56609	1632	2039	2027	1727,56958007813	-71,7948717948718	77,2893772893773	-67,3992673992674
56769	1619	2119	1834	1732,45239257813	-101,098901098901	82,0512820512821	3,2967032967033
56929	1696	1954	1854	1737,33520507813	-40,6593406593407	53,8461538461539	-4,02930402930403
57089	1624	2003	1849	1742,21801757813	-58,6080586080586	80,2197802197802	-2,1978021978022
57249	1527	2080	1846	1747,10083007813	-86,8131868131868	115,750915750916	-1,0989010989011
57409	1696	1952	1849	1751,98364257813	-39,9267399267399	53,8461538461539	-2,1978021978022
57569	1892	1792	1854	1756,86645507813	18,6813186813187	-17,9487179487179	-4,02930402930403
57729	1862	1811	1856	1761,74926757813	11,7216117216117	-6,95970695970696	-4,76190476190476
57889	1846	1824	1857	1766,63208007813	6,95970695970696	-1,0989010989011	-5,12820512820513
58049	1843	1835	1856	1771,51489257813	2,93040293040293	0	-4,76190476190476
58209	1843	1837	1858	1776,39770507813	2,1978021978022	0	-5,49450549450549
58369	1851	1839	1860	1781,28051757813	1,46520146520147	-2,93040293040293	-6,22710622710623
58529	1856	1835	1859	1786,16333007813	2,93040293040293	-4,76190476190476	-5,86080586080586
58689	1857	1831	1860	1791,04614257813	4,3956043956044	-5,12820512820513	-6,22710622710623
58849	1857	1827	1856	1795,92895507813	5,86080586080586	-5,12820512820513	-4,76190476190476
59009	1856	1827	1857	1800,81176757813	5,86080586080586	-4,76190476190476	-5,12820512820513
59169	1858	1830	1859	1805,69458007813	4,76190476190476	-5,49450549450549	-5,86080586080586
59329	1856	1829	1861	1810,57739257813	5,12820512820513	-4,76190476190476	-6,59340659340659
59489	1854	1830	1857	1815,46020507813	4,76190476190476	-4,02930402930403	-5,12820512820513
59649	1855	1831	1858	1820,34301757813	4,3956043956044	-4,3956043956044	-5,49450549450549
59809	1853	1829	1858	1825,22583007813	5,12820512820513	-3,66300366300366	-5,49450549450549
59969	1855	1828	1858	1830,10864257813	5,49450549450549	-4,3956043956044	-5,49450549450549
60129	1856	1831	1859	1834,99145507813	4,3956043956044	-4,76190476190476	-5,86080586080586
60289	1856	1830	1859	1839,87426757813	4,76190476190476	-4,76190476190476	-5,86080586080586
60449	1855	1829	1858	1844,75708007813	5,12820512820513	-4,3956043956044	-5,49450549450549
60609	1856	1830	1856	1849,63989257813	4,76190476190476	-4,76190476190476	-4,76190476190476
60769	1854	1829	1857	1854,52270507813	5,12820512820513	-4,02930402930403	-5,12820512820513
60929	1856	1829	1858	1859,40551757813	5,12820512820513	-4,76190476190476	-5,49450549450549
61089	1855	1829	1858	1864,28833007813	5,12820512820513	-4,3956043956044	-5,49450549450549
61249	1856	1830	1859	1869,17114257813	4,76190476190476	-4,76190476190476	-5,86080586080586
61409	1856	1830	1859	1874,05395507813	4,76190476190476	-4,76190476190476	-5,86080586080586
61569	1855	1829	1859	1878,93676757813	5,12820512820513	-4,3956043956044	-5,86080586080586
61729	1857	1830	1859	1883,81958007813	4,76190476190476	-5,12820512820513	-5,86080586080586
61889	1856	1831	1860	1888,70239257813	4,3956043956044	-4,76190476190476	-6,22710622710623
62049	1856	1830	1859	1893,58520507813	4,76190476190476	-4,76190476190476	-5,86080586080586
62209	1855	1829	1858	1898,46801757813	5,12820512820513	-4,3956043956044	-5,49450549450549
62369	1855	1828	1857	1903,35083007813	5,49450549450549	-4,3956043956044	-5,12820512820513
62529	1855	1829	1858	1908,23364257813	5,12820512820513	-4,3956043956044	-5,49450549450549
62689	1856	1829	1857	1913,11645507813	5,12820512820513	-4,76190476190476	-5,12820512820513
62849	1856	1830	1860	1917,99926757813	4,76190476190476	-4,76190476190476	-6,22710622710623
63009	1856	1829	1859	1922,88208007813	5,12820512820513	-4,76190476190476	-5,86080586080586
63169	1856	1830	1858	1927,76489257813	4,76190476190476	-4,76190476190476	-5,49450549450549
63329	1856	1828	1858	1932,64770507813	5,49450549450549	-4,76190476190476	-5,49450549450549
63489	1856	1831	1859	1937,53051757813	4,3956043956044	-4,76190476190476	-5,86080586080586
63649	1858	1831	1859	1942,41333007813	4,3956043956044	-5,49450549450549	-5,86080586080586
63809	1855	1829	1859	1947,29614257813	5,12820512820513	-4,3956043956044	-5,86080586080586
63969	1855	1828	1857	1952,17895507813	5,49450549450549	-4,3956043956044	-5,12820512820513
64129	1858	1831	1861	1957,06176757813	4,3956043956044	-5,49450549450549	-6,59340659340659
64289	1857	1831	1861	1961,94458007813	4,3956043956044	-5,12820512820513	-6,59340659340659
64449	1857	1830	1861	1966,82739257813	4,76190476190476	-5,12820512820513	-6,59340659340659
64609	1856	1828	1858	1971,71020507813	5,49450549450549	-4,76190476190476	-5,49450549450549
64769	1856	1829	1860	1976,59301757813	5,12820512820513	-4,76190476190476	-6,22710622710623
64929	1856	1829	1858	1981,47583007813	5,12820512820513	-4,76190476190476	-5,49450549450549
65089	1856	1828	1859	1986,35864257813	5,49450549450549	-4,76190476190476	-5,86080586080586
65249	1857	1831	1860	1991,24145507813	4,3956043956044	-5,12820512820513	-6,22710622710623
65409	1856	1830	1859	1996,12426757813	4,76190476190476	-4,76190476190476	-5,86080586080586
33	1858	1830	1857	2001,00708007813	4,76190476190476	-5,49450549450549	-5,12820512820513
193	1856	1830	1857	2005,88989257813	4,76190476190476	-4,76190476190476	-5,12820512820513
353	1855	1829	1858	2010,77270507813	5,12820512820513	-4,3956043956044	-5,49450549450549
513	1855	1828	1858	2015,65551757813	5,49450549450549	-4,3956043956044	-5,49450549450549
673	1856	1829	1858	2020,53833007813	5,12820512820513	-4,76190476190476	-5,49450549450549
833	1856	1829	1858	2025,42114257813	5,12820512820513	-4,76190476190476	-5,49450549450549
993	1857	1830	1858	2030,30395507813	4,76190476190476	-5,12820512820513	-5,49450549450549
1153	1855	1828	1860	2035,18676757813	5,49450549450549	-4,3956043956044	-6,22710622710623
1313	1857	1830	1860	2040,06958007813	4,76190476190476	-5,12820512820513	-6,22710622710623
1473	1857	1830	1860	2044,95239257813	4,76190476190476	-5,12820512820513	-6,22710622710623
1633	1856	1829	1859	2049,83520507813	5,12820512820513	-4,76190476190476	-5,86080586080586
1793	1856	1828	1858	2054,71801757813	5,49450549450549	-4,76190476190476	-5,49450549450549
1953	1855	1829	1858	2059,60083007813	5,12820512820513	-4,3956043956044	-5,49450549450549
2113	1855	1829	1858	2064,48364257813	5,12820512820513	-4,3956043956044	-5,49450549450549
2273	1855	1828	1858	2069,36645507813	5,49450549450549	-4,3956043956044	-5,49450549450549
2433	1856	1830	1860	2074,24926757813	4,76190476190476	-4,76190476190476	-6,22710622710623
2593	1856	1829	1858	2079,13208007813	5,12820512820513	-4,76190476190476	-5,49450549450549
2753	1856	1828	1859	2084,01489257813	5,49450549450549	-4,76190476190476	-5,86080586080586
2913	1856	1828	1858	2088,89770507813	5,49450549450549	-4,76190476190476	-5,49450549450549
3073	1857	1830	1860	2093,78051757813	4,76190476190476	-5,12820512820513	-6,22710622710623
3233	1858	1830	1860	2098,66333007813	4,76190476190476	-5,49450549450549	-6,22710622710623
3393	1856	1829	1859	2103,54614257813	5,12820512820513	-4,76190476190476	-5,86080586080586
3553	1858	1830	1856	2108,42895507813	4,76190476190476	-5,49450549450549	-4,76190476190476
3713	1856	1829	1859	2113,31176757813	5,12820512820513	-4,76190476190476	-5,86080586080586
3873	1855	1829	1858	2118,19458007813	5,12820512820513	-4,3956043956044	-5,49450549450549
4033	1854	1828	1858	2123,07739257813	5,49450549450549	-4,02930402930403	-5,49450549450549
4193	1856	1828	1858	2127,96020507813	5,49450549450549	-4,76190476190476	-5,49450549450549
4353	1855	1829	1859	2132,84301757813	5,12820512820513	-4,3956043956044	-5,86080586080586
4513	1856	1828	1858	2137,72583007813	5,49450549450549	-4,76190476190476	-5,49450549450549
4673	1856	1829	1859	2142,60864257813	5,12820512820513	-4,76190476190476	-5,86080586080586
4833	1856	1831	1859	2147,49145507813	4,3956043956044	-4,76190476190476	-5,86080586080586
4993	1856	1830	1859	2152,37426757813	4,76190476190476	-4,76190476190476	-5,86080586080586
5153	1855	1828	1858	2157,25708007813	5,49450549450549	-4,3956043956044	-5,49450549450549
