Shimmer1	Shimmer1	Shimmer1	Shimmer1
Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z
CAL	CAL	CAL	CAL
mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)
2848240,295	11,059	-1,109	-3,822
2848245,178	10,980	-1,099	-3,901
2848250,061	10,792	-1,089	-3,851
2848254,944	10,792	-1,050	-3,871
2848259,827	10,881	-1,089	-3,891
2848264,709	10,802	-1,030	-3,802
2848269,592	10,871	-1,139	-3,851
2848274,475	10,881	-1,000	-3,782
2848279,358	10,871	-1,089	-3,812
2848284,241	10,901	-0,921	-3,743
2848289,124	10,891	-0,891	-3,911
2848294,006	10,871	-1,000	-3,901
2848298,889	10,941	-1,040	-3,743
2848303,772	10,802	-0,990	-3,851
2848308,655	10,772	-1,030	-3,881
2848313,538	10,871	-1,050	-3,812
2848318,420	10,792	-0,990	-3,762
2848323,303	10,842	-0,950	-3,891
2848328,186	10,842	-1,069	-3,891
2848333,069	10,802	-1,030	-3,832
2848337,952	10,802	-1,149	-3,772
2848342,834	10,891	-0,960	-3,891
2848347,717	10,851	-1,059	-3,871
2848352,600	10,802	-1,119	-3,772
2848357,483	10,970	-0,941	-3,812
2848362,366	10,990	-1,079	-3,762
2848367,249	10,851	-0,960	-3,743
2848372,131	10,851	-0,941	-3,911
2848377,014	10,822	-1,020	-3,713
2848381,897	10,861	-1,000	-3,891
2848386,780	10,891	-1,139	-3,663
2848391,663	10,921	-1,010	-3,772
2848396,545	10,921	-1,030	-3,832
2848401,428	10,752	-1,030	-3,911
2848406,311	10,941	-0,941	-3,901
2848411,194	10,960	-1,000	-3,822
2848416,077	10,871	-1,079	-3,713
2848420,959	10,871	-1,198	-3,842
2848425,842	10,931	-0,980	-3,792
2848430,725	10,911	-1,010	-3,782
2848435,608	10,762	-1,228	-3,782
2848440,491	10,881	-1,059	-3,792
2848445,374	10,901	-1,079	-3,812
2848450,256	10,881	-1,000	-4,000
2848455,139	10,861	-0,950	-3,772
2848460,022	10,921	-0,931	-3,990
2848464,905	11,040	-1,139	-3,782
2848469,788	10,891	-1,040	-3,911
2848474,670	10,861	-0,970	-3,851
2848479,553	10,782	-0,970	-3,901
2848484,436	10,950	-0,960	-3,891
2848489,319	10,792	-0,911	-3,842
