Shimmer1	Shimmer1	Shimmer1	Shimmer1	Shimmer1	Shimmer1	Shimmer1
Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Gyroscope X	Gyroscope Y	Gyroscope Z
CAL	CAL	CAL	CAL	CAL	CAL	CAL
mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)	deg/sec	deg/sec	deg/sec
3535241,272	2,416	9,713	-2,347	272,894	16,850	2,198
3535246,155	2,069	9,317	-2,257	286,447	9,524	12,088
3535251,038	2,059	9,693	-2,327	272,894	-17,949	11,355
3535255,920	1,752	9,277	-2,436	268,498	-18,315	9,890
3535260,803	1,119	9,020	-1,941	261,538	-17,949	29,304
3535265,686	1,366	8,663	-2,436	236,264	-9,890	30,769
3535270,569	1,990	8,297	-2,832	249,817	4,396	36,264
3535275,452	2,703	9,347	-2,535	286,447	42,491	10,623
3535280,334	3,347	9,980	-2,198	298,901	50,183	11,355
3535285,217	3,366	9,901	-2,366	277,289	30,769	23,810
3535290,100	2,723	9,079	-2,842	237,363	17,949	43,590
3535294,983	2,386	7,782	-3,535	202,198	-31,868	58,242
3535299,866	2,436	6,851	-4,297	176,557	-12,088	67,766
3535304,749	1,465	6,653	-4,277	177,656	-32,601	90,476
3535309,631	0,891	7,089	-4,624	208,059	-59,341	89,744
3535314,514	0,030	8,386	-4,554	253,480	-71,795	89,744
3535319,397	-0,198	9,376	-4,337	278,388	-79,121	89,011
3535324,280	-0,030	9,822	-4,386	291,575	-66,300	86,081
3535329,163	0,455	10,000	-4,455	295,604	-41,758	92,308
3535334,045	1,000	9,941	-4,267	289,377	-37,363	81,685
3535338,928	1,168	9,634	-4,347	282,051	-33,700	84,249
3535343,811	1,000	9,703	-4,059	278,388	-37,363	78,755
3535348,694	0,851	9,198	-4,327	257,509	-41,026	83,516
3535353,577	1,069	8,752	-4,505	241,026	-38,462	93,040
3535358,459	1,119	8,168	-4,366	222,711	-43,956	101,832
3535363,342	0,713	7,842	-5,069	208,425	-45,055	116,117
3535368,225	0,743	7,673	-5,000	218,681	-45,055	106,593
3535373,108	0,554	8,287	-4,861	223,443	-52,747	95,971
3535377,991	0,485	8,149	-4,545	232,234	-45,055	94,139
3535382,874	1,040	8,713	-4,475	258,608	-28,205	80,586
3535387,756	1,515	9,376	-3,881	279,121	-7,692	55,311
3535392,639	2,000	9,644	-3,634	272,161	9,158	60,440
3535397,522	2,158	9,475	-3,782	258,974	7,692	60,073
3535402,405	2,129	8,931	-3,802	249,451	0,366	68,498
3535407,288	1,812	8,574	-4,069	252,015	-16,117	77,289
3535412,170	1,475	8,614	-4,089	252,747	-30,403	70,696
3535417,053	1,188	8,723	-3,802	238,828	-34,066	71,062
3535421,936	1,188	8,485	-3,980	241,392	-17,949	76,190
3535426,819	1,673	8,228	-3,861	224,542	-9,158	67,399
3535431,702	2,040	8,020	-3,881	226,374	12,454	61,172
3535436,584	2,535	8,505	-3,663	253,480	23,443	50,183
3535441,467	2,881	9,069	-3,267	265,201	39,560	42,125
3535446,350	3,040	9,139	-3,129	257,509	29,670	36,996
3535451,233	2,545	9,079	-3,129	253,114	12,454	57,143
3535456,116	2,069	8,673	-3,901	229,670	-11,722	79,853
3535460,999	1,356	8,099	-4,426	216,850	-27,839	91,575
3535465,881	-12,624	17,297	4,950	284,982	-94,505	52,381
3535470,764	0,178	8,416	-5,604	219,048	-51,282	98,901
3535475,647	0,723	8,317	-3,762	268,132	-11,722	91,941
3535480,530	0,950	7,198	-4,495	157,875	-50,916	100,000
3535485,413	1,376	7,812	-4,743	285,714	-66,667	15,385
3535490,295	1,436	6,366	-5,287	142,125	1,832	134,799
3535495,178	1,733	7,475	-4,475	224,176	-24,542	27,473
3535500,061	1,287	8,594	-3,317	152,381	-44,322	-31,136
3535504,944	2,653	11,317	-5,040	200,733	-20,879	-121,612
3535509,827	3,347	5,822	-5,792	146,154	10,989	100,000
3535514,709	1,228	6,485	-4,010	273,260	-75,458	1,465
3535519,592	1,723	9,832	-6,030	318,681	-35,897	106,960
3535524,475	-0,792	6,743	-3,673	384,982	-49,817	367,766
3535529,358	0,792	7,475	-1,248	244,322	-21,245	77,289
3535534,241	2,911	6,020	2,436	146,520	32,967	-154,579
3535539,124	2,832	5,812	2,267	142,491	25,275	-156,410
3535544,006	2,485	5,653	2,515	138,095	8,791	-168,132
3535548,889	2,040	5,584	2,703	129,304	6,960	-157,143
3535553,772	20,277	20,277	-20,277	675,092	675,092	675,092
3535558,655	20,277	20,277	-20,277	675,092	675,092	675,092
3535563,538	20,277	20,277	-20,277	675,092	675,092	675,092
3535568,420	20,277	20,277	-20,277	675,092	675,092	675,092
3535573,303	20,277	20,277	-20,277	675,092	675,092	675,092
3535578,186	20,277	20,277	-20,277	675,092	675,092	675,092
3535583,069	20,277	20,277	-20,277	675,092	675,092	675,092
3535587,952	20,277	20,277	-20,277	675,092	675,092	675,092
3535592,834	20,277	20,277	-20,277	675,092	675,092	675,092
3535597,717	-6,267	-0,109	1,446	14,652	-34,432	-21,978
3535602,600	-6,238	-0,099	1,554	14,652	-34,432	-21,978
3535607,483	-6,010	-0,059	1,663	14,652	-34,432	-21,978
3535612,366	-6,139	0,030	1,495	14,652	-34,432	-21,978
3535617,249	-6,178	-0,089	1,574	14,652	-34,432	-21,978
3535622,131	-6,277	-0,149	1,396	14,652	-34,432	-21,978
3535627,014	-6,188	-0,069	1,327	14,652	-34,432	-21,978
3535631,897	-6,267	-0,050	1,644	14,652	-34,432	-21,978
3535636,780	-6,188	-0,109	1,525	14,652	-34,432	-21,978
3535641,663	-6,089	-0,168	1,327	14,652	-34,432	-21,978
3535646,545	-6,198	0,020	1,515	14,652	-34,432	-21,978
3535651,428	-6,158	-0,099	1,465	14,652	-34,432	-21,978
3535656,311	-6,248	0,010	1,505	14,652	-34,432	-21,978
3535661,194	-6,218	0,089	1,396	14,652	-34,432	-21,978
3535666,077	-6,208	-0,119	1,485	14,652	-34,432	-21,978
3535670,959	-6,287	-0,267	1,307	14,652	-34,432	-21,978
3535675,842	-6,267	-0,267	1,594	14,652	-34,432	-21,978
3535680,725	-6,327	0,099	1,644	14,652	-34,432	-21,978
3535685,608	-6,228	-0,158	1,455	14,652	-34,432	-21,978
3535690,491	-6,178	-0,099	1,396	14,652	-34,432	-21,978
3535695,374	-6,356	-0,188	1,564	14,652	-34,432	-21,978
3535700,256	-6,287	0,050	1,495	14,652	-34,432	-21,978
3535705,139	-6,317	-0,149	1,475	14,652	-34,432	-21,978
3535710,022	-6,188	0,069	1,436	14,652	-34,432	-21,978
3535714,905	-6,356	-0,040	1,535	14,652	-34,432	-21,978
3535719,788	-6,238	-0,010	1,495	14,652	-34,432	-21,978
3535724,670	-6,119	0,099	1,475	14,652	-34,432	-21,978
3535729,553	-6,238	-0,040	1,574	14,652	-34,432	-21,978
3535734,436	-6,149	-0,149	1,465	14,652	-34,432	-21,978
3535739,319	-6,366	-0,030	1,366	14,652	-34,432	-21,978
3535744,202	-6,030	-0,129	1,455	14,652	-34,432	-21,978
3535749,084	-6,307	-0,099	1,426	14,652	-34,432	-21,978
3535753,967	-6,030	-0,198	1,485	14,652	-34,432	-21,978
3535758,850	-6,208	-0,158	1,485	14,652	-34,432	-21,978
3535763,733	-6,168	-0,069	1,396	14,652	-34,432	-21,978
3535768,616	-6,248	0,010	1,406	14,652	-34,432	-21,978
3535773,499	-6,218	-0,059	1,535	14,652	-34,432	-21,978
3535778,381	-6,287	-0,020	1,554	14,652	-34,432	-21,978
3535783,264	-6,198	0,079	1,465	14,652	-34,432	-21,978
3535788,147	-6,257	0,040	1,584	14,652	-34,432	-21,978
3535793,030	-6,238	-0,228	1,426	14,652	-34,432	-21,978
3535797,913	-6,297	-0,059	1,554	14,652	-34,432	-21,978
3535802,795	-6,099	-0,030	1,436	14,652	-34,432	-21,978
3535807,678	-6,198	-0,198	1,376	14,652	-34,432	-21,978
3535812,561	-6,327	-0,109	1,347	14,652	-34,432	-21,978
3535817,444	-6,277	-0,109	1,475	14,652	-34,432	-21,978
3535822,327	-6,228	-0,119	1,446	14,652	-34,432	-21,978
3535827,209	-6,238	-0,307	1,446	14,652	-34,432	-21,978
3535832,092	-6,257	-0,188	1,475	14,652	-34,432	-21,978
3535836,975	-6,287	-0,129	1,545	14,652	-34,432	-21,978
3535841,858	-6,248	-0,030	1,594	14,652	-34,432	-21,978
3535846,741	-6,376	0,119	1,446	14,652	-34,432	-21,978
3535851,624	-6,574	0,149	1,653	14,652	-34,432	-21,978
3535856,506	-6,297	-0,168	1,634	14,652	-34,432	-21,978
3535861,389	-6,208	-0,228	1,584	14,652	-34,432	-21,978
3535866,272	-6,149	-0,257	1,317	14,652	-34,432	-21,978
3535871,155	-6,178	-0,040	1,356	14,652	-34,432	-21,978
3535876,038	-6,287	-0,040	1,297	14,652	-34,432	-21,978
3535880,920	-5,891	-0,149	0,851	14,652	-34,432	-21,978
3535885,803	-6,188	-0,010	1,545	14,652	-34,432	-21,978
3535890,686	-6,416	0,178	1,475	14,652	-34,432	-21,978
3535895,569	-6,406	0,050	1,287	14,652	-34,432	-21,978
3535900,452	-6,287	0,089	1,485	14,652	-34,432	-21,978
3535905,334	-6,307	-0,050	1,436	14,652	-34,432	-21,978
3535910,217	-6,455	-0,277	1,535	14,652	-34,432	-21,978
3535915,100	-6,218	0,020	1,554	14,652	-34,432	-21,978
3535919,983	-6,228	-0,248	1,465	14,652	-34,432	-21,978
3535924,866	-6,238	-0,089	1,505	14,652	-34,432	-21,978
3535929,749	-6,248	0,129	1,584	14,652	-34,432	-21,978
3535934,631	-6,356	-0,030	1,515	14,652	-34,432	-21,978
3535939,514	-6,337	-0,010	1,446	14,652	-34,432	-21,978
3535944,397	-6,297	-0,198	1,386	14,652	-34,432	-21,978
3535949,280	-6,337	0,079	1,554	14,652	-34,432	-21,978
3535954,163	-6,178	0,050	1,446	14,652	-34,432	-21,978
3535959,045	-6,119	-0,020	1,465	14,652	-34,432	-21,978
3535963,928	-6,366	-0,168	1,743	14,652	-34,432	-21,978
3535968,811	-6,208	-0,040	1,663	14,652	-34,432	-21,978
3535973,694	-6,337	0,069	1,554	14,652	-34,432	-21,978
3535978,577	-6,277	0,010	1,554	14,652	-34,432	-21,978
3535983,459	-6,347	0,040	1,416	14,652	-34,432	-21,978
3535988,342	-6,149	0,000	1,386	14,652	-34,432	-21,978
3535993,225	-6,198	-0,139	1,436	14,652	-34,432	-21,978
3535998,108	-6,020	-0,129	1,594	14,652	-34,432	-21,978
3536002,991	-6,168	-0,059	1,376	14,652	-34,432	-21,978
3536007,874	-6,089	0,040	1,416	14,652	-34,432	-21,978
3536012,756	-6,168	-0,158	1,535	14,652	-34,432	-21,978
3536017,639	-6,376	0,030	1,624	14,652	-34,432	-21,978
3536022,522	-6,287	-0,069	1,584	14,652	-34,432	-21,978
3536027,405	-6,317	-0,119	1,436	14,652	-34,432	-21,978
3536032,288	-6,317	0,059	1,772	14,652	-34,432	-21,978
3536037,170	-6,149	0,000	1,525	14,652	-34,432	-21,978
3536042,053	-6,327	0,079	1,495	14,652	-34,432	-21,978
3536046,936	-6,248	-0,040	1,485	14,652	-34,432	-21,978
3536051,819	-6,337	-0,050	1,634	14,652	-34,432	-21,978
3536056,702	-6,238	-0,158	1,465	14,652	-34,432	-21,978
3536061,584	-6,248	0,020	1,554	14,652	-34,432	-21,978
3536066,467	-6,297	-0,139	1,475	14,652	-34,432	-21,978
3536071,350	-6,277	-0,020	1,475	14,652	-34,432	-21,978
3536076,233	-6,238	-0,059	1,485	14,652	-34,432	-21,978
3536081,116	-6,059	-0,020	1,465	14,652	-34,432	-21,978
3536085,999	-6,079	-0,020	1,376	14,652	-34,432	-21,978
3536090,881	-6,238	-0,010	1,515	14,652	-34,432	-21,978
3536095,764	-6,208	0,030	1,495	14,652	-34,432	-21,978
3536100,647	-6,297	0,099	1,347	14,652	-34,432	-21,978
3536105,530	-6,168	-0,069	1,396	14,652	-34,432	-21,978
3536110,413	-6,188	-0,129	1,257	14,652	-34,432	-21,978
3536115,295	-6,168	0,079	1,465	14,652	-34,432	-21,978
3536120,178	-6,178	-0,050	1,426	14,652	-34,432	-21,978
3536125,061	-6,257	0,059	1,465	14,652	-34,432	-21,978
3536129,944	-6,149	-0,079	1,554	14,652	-34,432	-21,978
3536134,827	-6,307	-0,079	1,535	14,652	-34,432	-21,978
3536139,709	-6,178	-0,040	1,495	14,652	-34,432	-21,978
3536144,592	-6,198	-0,079	1,574	14,652	-34,432	-21,978
3536149,475	-6,356	0,050	1,505	14,652	-34,432	-21,978
3536154,358	-6,198	0,020	1,515	14,652	-34,432	-21,978
3536159,241	-6,149	-0,059	1,614	14,652	-34,432	-21,978
3536164,124	-6,149	0,020	1,465	14,652	-34,432	-21,978
3536169,006	-6,208	0,000	1,574	14,652	-34,432	-21,978
3536173,889	-6,228	-0,040	1,396	14,652	-34,432	-21,978
3536178,772	-6,158	-0,079	1,535	14,652	-34,432	-21,978
3536183,655	-6,158	-0,089	1,515	14,652	-34,432	-21,978
3536188,538	-6,178	-0,119	1,545	14,652	-34,432	-21,978
3536193,420	-6,208	-0,030	1,554	14,652	-34,432	-21,978
3536198,303	-6,208	-0,069	1,495	14,652	-34,432	-21,978
3536203,186	-6,327	0,010	1,475	14,652	-34,432	-21,978
3536208,069	-6,188	-0,079	1,584	14,652	-34,432	-21,978
3536212,952	-6,277	0,069	1,406	14,652	-34,432	-21,978
3536217,834	-6,149	-0,139	1,683	14,652	-34,432	-21,978
3536222,717	-6,188	-0,149	1,485	14,652	-34,432	-21,978
3536227,600	-6,198	0,000	1,545	14,652	-34,432	-21,978
3536232,483	-6,257	-0,059	1,525	14,652	-34,432	-21,978
3536237,366	-6,386	0,079	1,604	14,652	-34,432	-21,978
3536242,249	-6,386	-0,020	1,634	14,652	-34,432	-21,978
3536247,131	-6,059	0,040	1,683	14,652	-34,432	-21,978
3536252,014	-6,218	0,020	1,624	14,652	-34,432	-21,978
3536256,897	-6,218	-0,040	1,604	14,652	-34,432	-21,978
3536261,780	-6,257	-0,040	1,693	14,652	-34,432	-21,978
3536266,663	-6,129	0,069	1,584	14,652	-34,432	-21,978
3536271,545	-6,050	0,059	1,475	14,652	-34,432	-21,978
3536276,428	-6,188	-0,089	1,426	14,652	-34,432	-21,978
3536281,311	-6,198	-0,040	1,535	14,652	-34,432	-21,978
3536286,194	-6,267	-0,010	1,465	14,652	-34,432	-21,978
3536291,077	-6,158	-0,050	1,574	14,652	-34,432	-21,978
3536295,959	-6,267	-0,109	1,653	14,652	-34,432	-21,978
3536300,842	-6,287	-0,089	1,653	14,652	-34,432	-21,978
3536305,725	-6,228	-0,089	1,446	14,652	-34,432	-21,978
3536310,608	-6,218	-0,020	1,564	14,652	-34,432	-21,978
3536315,491	-6,238	0,099	1,535	14,652	-34,432	-21,978
3536320,374	-5,990	0,079	1,584	14,652	-34,432	-21,978
3536325,256	-6,079	-0,030	1,376	14,652	-34,432	-21,978
3536330,139	-6,218	-0,188	1,515	14,652	-34,432	-21,978
3536335,022	-6,356	-0,129	0,990	14,652	-34,432	-21,978
3536339,905	-6,089	-0,010	1,455	14,652	-34,432	-21,978
3536344,788	-6,277	-0,069	1,762	14,652	-34,432	-21,978
3536349,670	-6,416	0,307	1,733	14,652	-34,432	-21,978
3536354,553	-6,317	-0,050	1,653	14,652	-34,432	-21,978
3536359,436	-6,228	-0,050	1,554	14,652	-34,432	-21,978
3536364,319	-6,139	0,267	1,455	14,652	-34,432	-21,978
3536369,202	-6,158	0,000	1,653	14,652	-34,432	-21,978
3536374,084	-6,158	-0,158	1,455	14,652	-34,432	-21,978
3536378,967	-6,069	-0,119	1,426	14,652	-34,432	-21,978
3536383,850	-6,059	-0,030	1,624	14,652	-34,432	-21,978
3536388,733	-6,178	0,129	1,584	14,652	-34,432	-21,978
3536393,616	-6,109	0,040	1,525	14,652	-34,432	-21,978
3536398,499	-6,238	-0,059	1,515	14,652	-34,432	-21,978
3536403,381	-6,327	-0,030	1,475	14,652	-34,432	-21,978
3536408,264	-6,050	-0,089	1,644	14,652	-34,432	-21,978
3536413,147	-6,129	-0,069	1,624	14,652	-34,432	-21,978
3536418,030	-6,158	0,099	1,554	14,652	-34,432	-21,978
3536422,913	-6,089	-0,010	1,614	14,652	-34,432	-21,978
3536427,795	-6,327	-0,030	1,495	14,652	-34,432	-21,978
3536432,678	-6,139	0,099	1,525	14,652	-34,432	-21,978
3536437,561	-6,257	0,040	1,584	14,652	-34,432	-21,978
3536442,444	-6,050	-0,129	1,525	14,652	-34,432	-21,978
3536447,327	-6,178	-0,030	1,525	14,652	-34,432	-21,978
3536452,209	-6,178	-0,089	1,653	14,652	-34,432	-21,978
