Shimmer1	Shimmer1	Shimmer1	Shimmer1
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z
CAL	CAL	CAL	CAL
mSecs	deg/sec	deg/sec	deg/sec
3338668,030	108,059	-32,601	-217,582
3338672,913	101,099	-31,868	-228,938
3338677,795	118,315	-30,037	-228,571
3338682,678	108,059	-21,612	-227,839
3338687,561	120,513	-25,275	-228,938
3338692,444	114,286	-19,780	-223,077
3338697,327	128,205	-14,286	-212,821
3338702,209	136,630	-10,623	-218,315
3338707,092	133,333	12,454	-204,396
3338711,975	104,029	-7,692	-211,722
3338716,858	115,018	-13,553	-206,960
3338721,741	120,879	-22,344	-194,139
3338726,624	130,769	-43,590	-150,549
3338731,506	100,733	0,366	-206,227
3338736,389	98,901	-2,198	-184,615
3338741,272	87,546	4,762	-184,249
3338746,155	67,399	5,861	-188,278
3338751,038	78,388	-4,762	-197,802
3338755,920	83,516	-4,762	-180,952
3338760,803	81,319	-16,117	-205,495
3338765,686	73,993	-21,978	-193,773
3338770,569	94,872	-28,571	-204,762
3338775,452	95,604	-27,106	-206,593
3338780,334	99,267	-35,531	-205,861
3338785,217	110,989	-34,066	-216,117
3338790,100	114,286	-35,165	-221,612
3338794,983	117,582	-39,194	-223,077
3338799,866	116,850	-37,363	-224,176
3338804,749	115,018	-42,491	-222,711
3338809,631	121,978	-43,223	-219,048
3338814,514	120,879	-49,817	-215,385
3338819,397	121,978	-46,520	-216,484
3338824,280	109,524	-40,293	-214,286
3338829,163	98,535	-30,769	-212,454
3338834,045	98,901	-34,799	-208,059
3338838,928	95,238	-26,374	-208,791
3338843,811	95,971	-24,176	-208,425
3338848,694	118,315	-30,037	-212,821
3338853,577	98,901	-19,414	-203,663
3338858,459	76,923	-15,751	-204,029
3338863,342	70,696	-9,890	-195,604
3338868,225	76,557	-21,612	-206,593
3338873,108	85,348	-19,414	-191,575
3338877,991	78,022	-17,949	-198,901
3338882,874	77,656	-13,187	-199,267
3338887,756	64,469	-16,117	-198,901
3338892,639	76,190	-15,751	-201,099
3338897,522	72,161	-6,227	-201,099
3338902,405	74,725	-9,890	-208,059
3338907,288	79,121	2,930	-214,652
3338912,170	81,319	-1,099	-208,059
3338917,053	77,656	-4,396	-210,623
3338921,936	78,388	-1,832	-209,158
3338926,819	80,220	-0,733	-210,989
3338931,702	83,883	-0,366	-208,059
3338936,584	82,418	-2,930	-207,326
3338941,467	86,081	-5,128	-209,890
3338946,350	84,982	-14,286	-209,524
3338951,233	81,685	-10,989	-212,454
3338956,116	73,993	-7,326	-215,385
3338960,999	77,656	-7,326	-223,443
3338965,881	81,685	-9,890	-213,919
3338970,764	140,659	-104,396	-203,297
3338975,647	130,403	-106,593	-191,941
3338980,530	106,593	-123,443	-182,784
3338985,413	90,842	-126,374	-171,795
3338990,295	39,927	-131,136	-184,249
3338995,178	44,322	-127,839	-171,429
3339000,061	58,608	-126,740	-173,626
3339004,944	62,271	-124,542	-168,132
3339009,827	72,161	-139,560	-149,817
3339014,709	87,546	-131,868	-142,491
3339019,592	76,923	-131,136	-165,934
3339024,475	66,667	-115,751	-184,982
3339029,358	59,341	-107,326	-201,465
3339034,241	58,608	-101,832	-212,454
3339039,124	163,370	-148,718	-267,766
3339044,006	162,637	-89,744	-240,659
3339048,889	91,575	-73,993	-270,330
3339053,772	125,275	-78,022	-259,707
3339058,655	140,293	-64,103	-246,520
3339063,538	113,919	-60,806	-241,392
3339068,420	111,355	-61,538	-224,908
3339073,303	93,773	-65,568	-215,751
3339078,186	94,139	-66,667	-210,256
3339083,069	97,436	-68,864	-198,535
3339087,952	101,099	-67,399	-195,604
3339092,834	98,901	-72,527	-181,685
3339097,717	99,634	-68,864	-176,557
3339102,600	106,960	-71,429	-183,883
3339107,483	302,198	-151,648	-241,758
3339112,366	194,872	-176,923	-152,381
3339117,249	104,396	-42,125	-198,168
3339122,131	-12,088	-38,828	-176,190
