Shimmer1	Shimmer1	Shimmer1	Shimmer1
Timestamp	Accelerometer X*	Accelerometer Y*	Accelerometer Z*
uncalibrated	uncalibrated	uncalibrated	uncalibrated
no units	no units	no units	no units
93331138	931	2160	1662
93331298	939	2159	1654
93331458	958	2158	1659
93331618	958	2154	1657
93331778	949	2158	1655
93331938	957	2152	1664
93332098	950	2163	1659
93332258	949	2149	1666
93332418	950	2158	1663
93332578	947	2141	1670
93332738	948	2138	1653
93332898	950	2149	1654
93333058	943	2153	1670
93333218	957	2148	1659
93333378	960	2152	1656
93333538	950	2154	1663
93333698	958	2148	1668
93333858	953	2144	1655
93334018	953	2156	1655
93334178	957	2152	1661
93334338	957	2164	1667
93334498	948	2145	1655
93334658	952	2155	1657
93334818	957	2161	1667
93334978	940	2143	1663
93335138	938	2157	1668
93335298	952	2145	1670
93335458	952	2143	1653
93335618	955	2151	1673
93335778	951	2149	1655
93335938	948	2163	1678
93336098	945	2150	1667
93336258	945	2152	1661
93336418	962	2152	1653
93336578	943	2143	1654
93336738	941	2149	1662
93336898	950	2157	1673
93337058	950	2169	1660
93337218	944	2147	1665
93337378	946	2150	1666
93337538	961	2172	1666
93337698	949	2155	1665
93337858	947	2157	1663
93338018	949	2149	1644
93338178	951	2144	1667
93338338	945	2142	1645
93338498	933	2163	1666
93338658	948	2153	1653
93338818	951	2146	1659
93338978	959	2146	1654
93339138	942	2145	1655
93339298	958	2140	1660
93339458	951	2158	1652
93339618	939	2158	1669
93339778	948	2151	1650
93339938	945	2148	1669
93340098	938	2137	1673
93340258	940	2160	1647
93340418	957	2156	1672
93340578	927	2152	1669
93340738	947	2135	1646
93340898	954	2161	1665
93341058	942	2153	1671
93341218	938	2162	1659
93341378	955	2157	1642
93341538	946	2154	1659
93341698	944	2158	1661
93341858	948	2148	1655
93342018	955	2153	1662
93342178	948	2150	1656
93342338	939	2144	1660
93342498	961	2157	1654
93342658	946	2162	1667
93342818	959	2163	1638
93342978	949	2146	1668
93343138	932	2148	1666
93343298	954	2142	1657
93343458	942	2159	1672
93343618	957	2162	1665
93343778	959	2152	1651
93343938	960	2151	1660
93344098	971	2153	1665
93344258	943	2161	1663
93344418	957	2146	1665
93344578	943	2157	1671
93344738	951	2165	1660
93344898	949	2161	1664
93345058	942	2144	1657
93345218	955	2151	1666
93345378	956	2149	1674
93345538	960	2147	1651
93345698	962	2166	1655
93345858	945	2152	1666
93346018	947	2154	1656
93346178	959	2159	1666
93346338	948	2170	1664
93346498	959	2144	1671
93346658	944	2141	1661
93346818	966	2150	1666
93346978	951	2159	1666
93347138	948	2147	1668
93347298	950	2140	1667
93347458	958	2154	1674
93347618	948	2161	1660
93347778	954	2166	1647
93347938	959	2131	1659
93348098	951	2144	1657
93348258	937	2140	1668
93348418	957	2162	1654
93348578	937	2155	1660
93348738	950	2156	1651
93348898	947	2149	1659
93349058	949	2171	1661
93349218	956	2151	1673
93349378	945	2164	1666
93349538	955	2148	1661
93349698	969	2161	1663
93349858	952	2142	1670
93350018	958	2161	1671
93350178	949	2150	1655
93350338	948	2155	1667
93350498	949	2166	1669
93350658	951	2172	1664
93350818	945	2148	1655
93350978	958	2153	1659
93351138	950	2148	1665
93351298	945	2163	1664
93351458	936	2159	1658
93351618	952	2150	1650
93351778	945	2157	1660
93351938	973	2155	1648
93352098	939	2151	1657
93352258	946	2152	1659
93352418	942	2154	1664
93352578	956	2164	1652
93352738	953	2156	1656
93352898	942	2143	1646
93353058	965	2149	1676
93353218	940	2144	1669
