Shimmer1	Shimmer1	Shimmer1	Shimmer1	Shimmer1	Shimmer1	Shimmer1
Timestamp	Accelerometer X*	Accelerometer Y*	Accelerometer Z*	Gyroscope X*	Gyroscope Y*	Gyroscope Z*
uncalibrated	uncalibrated	uncalibrated	uncalibrated	uncalibrated	uncalibrated	uncalibrated
no units	no units	no units	no units	no units	no units	no units
115842786	1804	1067	1811	1797	1098	1837
115842946	1839	1107	1820	1817	1061	1810
115843106	1840	1069	1813	1892	1098	1812
115843266	1871	1111	1802	1893	1110	1816
115843426	1935	1137	1852	1892	1129	1763
115843586	1910	1173	1802	1870	1198	1759
115843746	1847	1210	1762	1831	1161	1744
115843906	1775	1104	1792	1727	1061	1814
115844066	1710	1040	1826	1706	1027	1812
115844226	1708	1048	1809	1759	1086	1778
115844386	1773	1131	1761	1794	1195	1724
115844546	1807	1262	1691	1930	1291	1684
115844706	1802	1356	1614	1876	1361	1658
115844866	1900	1376	1616	1932	1358	1596
115845026	1958	1332	1581	2005	1275	1598
115845186	2045	1201	1588	2039	1151	1598
115845346	2068	1101	1610	2059	1083	1600
115845506	2051	1056	1605	2024	1047	1608
115845666	2002	1038	1598	1957	1036	1591
115845826	1947	1044	1617	1945	1053	1620
115845986	1930	1075	1609	1935	1073	1613
115846146	1947	1068	1638	1945	1083	1628
115846306	1962	1119	1611	1955	1140	1615
115846466	1940	1164	1593	1948	1185	1589
115846626	1935	1223	1607	1963	1235	1565
115846786	1976	1256	1536	1966	1274	1526
115846946	1973	1273	1543	1966	1246	1552
115847106	1992	1211	1557	1987	1233	1581
115847266	1999	1225	1589	1966	1209	1586
115847426	1943	1168	1596	1920	1137	1623
115847586	1895	1101	1656	1864	1081	1692
115847746	1846	1074	1681	1818	1100	1678
115847906	1830	1091	1666	1822	1136	1679
115848066	1833	1146	1664	1842	1162	1656
115848226	1865	1182	1637	1887	1155	1632
115848386	1899	1178	1635	1926	1153	1650
115848546	1928	1167	1664	1936	1191	1649
115848706	1928	1191	1646	1892	1184	1635
115848866	1879	1217	1658	1868	1230	1659
115849026	1842	1238	1656	1809	1225	1676
115849186	1792	1189	1678	1779	1151	1706
115849346	1757	1132	1718	1735	1119	1728
115849506	1741	1125	1732	1762	1140	1742
115849666	1791	1131	1732	1809	1152	1687
115849826	1839	1172	1654	1875	1216	1625
115849986	1911	1230	1601	1919	1251	1593
115850146	3323	301	2548	2101	1065	1700
115850306	2030	1198	1482	1983	1245	1573
115850466	1975	1208	1668	1875	1111	1592
115850626	1952	1321	1594	1982	1412	1570
115850786	1909	1259	1569	2025	1063	1801
115850946	1903	1405	1514	1838	1455	1475
115851106	1873	1293	1596	1910	1231	1768
115851266	1918	1180	1713	1964	1427	1928
115851426	1780	905	1539	1900	1295	2175
115851586	1710	1460	1463	1813	1444	1570
115851746	1924	1393	1643	2049	1097	1839
115851906	1874	1055	1439	1941	973	1551
115852066	2128	1367	1677	1979	792	839
115852226	1968	1293	1922	1901	1176	1632
115852386	1754	1440	2294	1753	1443	2265
115852546	1762	1461	2277	1774	1454	2270
115852706	1797	1477	2302	1819	1466	2302
115852866	1842	1484	2321	1824	1490	2272
115853026	0	0	0	0	0	0
115853186	0	0	0	0	0	0
115853346	0	0	0	0	0	0
115853506	0	0	0	0	0	0
115853666	0	0	0	0	0	0
115853826	0	0	0	0	0	0
115853986	0	0	0	0	0	0
115854146	0	0	0	0	0	0
115854306	0	0	0	0	0	0
115854466	2681	2059	2194	1937	1803	1903
115854626	2678	2058	2205	1937	1803	1903
115854786	2655	2054	2216	1937	1803	1903
115854946	2668	2045	2199	1937	1803	1903
115855106	2672	2057	2207	1937	1803	1903
115855266	2682	2063	2189	1937	1803	1903
115855426	2673	2055	2182	1937	1803	1903
115855586	2681	2053	2214	1937	1803	1903
115855746	2673	2059	2202	1937	1803	1903
115855906	2663	2065	2182	1937	1803	1903
115856066	2674	2046	2201	1937	1803	1903
115856226	2670	2058	2196	1937	1803	1903
115856386	2679	2047	2200	1937	1803	1903
115856546	2676	2039	2189	1937	1803	1903
115856706	2675	2060	2198	1937	1803	1903
115856866	2683	2075	2180	1937	1803	1903
115857026	2681	2075	2209	1937	1803	1903
115857186	2687	2038	2214	1937	1803	1903
115857346	2677	2064	2195	1937	1803	1903
115857506	2672	2058	2189	1937	1803	1903
115857666	2690	2067	2206	1937	1803	1903
115857826	2683	2043	2199	1937	1803	1903
