Shimmer1	Shimmer1	Shimmer1	Shimmer1
Timestamp	Gyroscope X*	Gyroscope Y*	Gyroscope Z*
uncalibrated	uncalibrated	uncalibrated	uncalibrated
no units	no units	no units	no units
109401474	1932	1548	2437
109401634	1930	1567	2468
109401794	1925	1520	2467
109401954	1902	1548	2465
109402114	1912	1514	2468
109402274	1897	1531	2452
109402434	1882	1493	2424
109402594	1872	1470	2439
109402754	1809	1479	2401
109402914	1864	1559	2421
109403074	1880	1529	2408
109403234	1904	1513	2373
109403394	1962	1486	2254
109403554	1842	1568	2406
109403714	1849	1573	2347
109403874	1830	1604	2346
109404034	1827	1659	2357
109404194	1856	1629	2383
109404354	1856	1615	2337
109404514	1887	1621	2404
109404674	1903	1641	2372
109404834	1921	1584	2402
109404994	1917	1582	2407
109405154	1940	1572	2405
109405314	1936	1540	2433
109405474	1939	1531	2448
109405634	1950	1522	2452
109405794	1945	1524	2455
109405954	1959	1529	2451
109406114	1961	1510	2441
109406274	1979	1513	2431
109406434	1970	1510	2434
109406594	1953	1544	2428
109406754	1927	1574	2423
109406914	1938	1573	2411
109407074	1915	1583	2413
109407234	1909	1581	2412
109407394	1925	1520	2424
109407554	1896	1573	2399
109407714	1886	1633	2400
109407874	1870	1650	2377
109408034	1902	1634	2407
109408194	1896	1610	2366
109408354	1892	1630	2386
109408514	1879	1631	2387
109408674	1887	1667	2386
109408834	1886	1635	2392
109408994	1860	1646	2392
109409154	1870	1639	2411
109409314	1835	1627	2429
109409474	1846	1621	2411
109409634	1855	1631	2418
109409794	1848	1629	2414
109409954	1845	1624	2419
109410114	1844	1614	2411
109410274	1851	1618	2409
109410434	1857	1608	2416
109410594	1882	1611	2415
109410754	1873	1620	2423
109410914	1863	1641	2431
109411074	1863	1631	2453
109411234	1870	1620	2427
109411394	2128	1459	2398
109411554	2134	1487	2367
109411714	2180	1552	2342
109411874	2188	1595	2312
109412034	2201	1734	2346
109412194	2192	1722	2311
109412354	2189	1683	2317
109412514	2183	1673	2302
109412674	2224	1646	2252
109412834	2203	1604	2232
109412994	2201	1633	2296
109413154	2159	1661	2348
109413314	2136	1681	2393
109413474	2121	1683	2423
109413634	2249	1397	2574
109413794	2088	1399	2500
109413954	2045	1593	2581
109414114	2056	1501	2552
109414274	2018	1460	2516
109414434	2009	1532	2502
109414594	2011	1539	2457
109414754	2022	1587	2432
109414914	2025	1586	2417
109415074	2031	1577	2385
109415234	2027	1567	2377
109415394	2041	1573	2339
109415554	2031	1571	2325
109415714	2038	1551	2345
109415874	2257	1018	2503
109416034	2326	1311	2259
109416194	1958	1558	2384
109416354	1949	1876	2324
109416514	1917	1902	2316
109416674	1915	1792	2314
109416834	1916	1650	2411
109416994	2056	1651	2637
109417154	1925	1601	2392
109417314	2002	1571	2424
109417474	2019	1537	2436
109417634	2021	1494	2502
109417794	2024	1406	2349
109417954	2030	1581	2451
109418114	1995	1544	2434
109418274	1989	1565	2402
109418434	1960	1605	2354
109418594	1976	1632	2336
109418754	1969	1612	2336
109418914	2001	1604	2326
109419074	2023	1579	2306
109419234	2024	1569	2319
109419394	2023	1599	2347
109419554	2024	1574	2378
109419714	2047	1554	2381
109419874	2051	1529	2400
109420034	2042	1534	2423
109420194	2022	1544	2409
109420354	2008	1580	2422
109420514	2010	1558	2442
109420674	2012	1551	2454
109420834	2025	1548	2430
109420994	2011	1543	2439
109421154	2016	1563	2420
109421314	2000	1561	2413
109421474	1996	1553	2414
109421634	1982	1581	2405
109421794	1993	1589	2391
109421954	2210	1700	2437
109422114	2220	1705	2428
109422274	2221	1696	2440
109422434	2212	1708	2441
